learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Pool Size
2000.0,0.65625,1.015625,984.6153846153846,1.25,800.0,0.0,1000.0,0.0,-2299.9999999999977,0.0,2000.0,0.0,10.0
3000.0,1.03125,0.46875,2133.3333333333335,0.9375,1066.6666666666667,0.0,2000.0,0.0,-2109.9999999999977,0.0,3000.0,0.0,15.0
4000.0,1.421875,0.3125,3200.0,0.9375,1066.6666666666667,0.0,3000.0,3.03117368194226,-2164.516129032252,-7.012195121951209,4000.0,0.0,20.0
5000.0,1.96875,0.234375,4266.666666666667,1.953125,512.0,0.0,4000.0,6.050256421237477,-2164.516129032264,-7.012195121951227,5000.0,0.0,25.0
6000.0,2.34375,0.390625,2560.0,0.9375,1066.6666666666667,0.0,5000.0,7.773122933434758,-2164.5161290322644,-7.012195121951252,6000.0,0.0,25.0
7000.0,2.8125,0.234375,4266.666666666667,1.484375,673.6842105263158,0.0,6000.0,8.887019904681791,-2164.516129032264,-7.012195121951209,7000.0,0.0,25.0
8000.0,3.328125,0.3125,3200.0,1.71875,581.8181818181819,0.0,7000.0,8.458723186678494,-2219.696969696964,-6.393328700486495,8000.0,0.0,25.0
9000.0,3.8125,0.234375,4266.666666666667,1.5625,640.0,0.0,8000.0,5.036951127781606,-2491.6666666666774,-4.412470023980799,9000.0,0.0,25.0
10000.0,4.1875,0.234375,4266.666666666667,1.171875,853.3333333333334,0.0,9000.0,5.582293735308182,-2510.7843137254963,-3.297129557796754,10000.0,0.0,25.0
11000.0,4.578125,0.234375,4266.666666666667,1.328125,752.9411764705883,0.0,10000.0,9.9925275974644,-2832.2580645161374,-13.094867807153973,11000.0,0.0,25.0
12000.0,4.9375,0.234375,4266.666666666667,1.171875,853.3333333333334,0.0,11000.0,6.0460114474985645,-3211.194029850746,-27.025479530489537,12000.0,0.0,25.0
13000.0,5.28125,0.15625,6400.0,1.09375,914.2857142857143,0.0,12000.0,7.418375880561171,-3218.6567164179132,-27.311766389922703,13000.0,0.0,25.0
14000.0,5.640625,0.234375,4266.666666666667,1.171875,853.3333333333334,0.0,13000.0,8.632358966425892,-3218.656716417896,-27.311766389922703,14000.0,0.0,25.0
15000.0,6.03125,0.15625,6400.0,1.25,800.0,0.0,14000.0,8.405353615220092,-3139.5833333333503,-25.707356507679833,15000.0,0.0,25.0
